0,0,0,6,0,5,9,0,0
0,0,2,0,0,0,0,4,0
8,0,0,0,7,0,0,0,1
0,0,0,0,0,1,6,0,8
0,4,0,0,0,0,0,5,0
7,0,1,5,0,0,0,0,0
5,0,0,0,4,0,0,0,0
0,6,0,0,0,0,0,0,0
0,0,3,1,0,2,0,0,0

右下ブロックの9を消すと複数解。
更に右下ブロックの7も消すと複数解多数。

ANSWER:1
1,3,4,6,2,5,9,8,7,
9,7,2,3,1,8,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,3,2,4,
5,1,9,7,4,3,8,6,2,
2,6,7,8,5,9,4,1,3,
4,8,3,1,6,2,7,9,5,

ANSWER:2
1,3,4,6,2,5,9,8,7,
9,7,2,3,1,8,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,2,3,
5,1,7,8,4,9,3,6,2,
2,6,9,7,5,3,8,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:3
1,3,4,6,2,5,9,8,7,
9,7,2,3,1,8,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,2,3,
5,1,9,7,4,3,8,6,2,
2,6,7,8,5,9,3,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:4
1,3,4,6,2,5,9,8,7,
9,7,2,3,1,8,5,4,6,
8,5,6,9,7,4,3,2,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,2,3,4,
5,1,9,7,4,3,8,6,2,
2,6,7,8,5,9,4,1,3,
4,8,3,1,6,2,7,9,5,

ANSWER:5
1,3,4,6,2,5,9,8,7,
9,7,2,3,1,8,5,4,6,
8,5,6,9,7,4,3,2,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,3,2,
5,1,7,8,4,9,2,6,3,
2,6,9,7,5,3,8,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:6
1,3,4,6,2,5,9,8,7,
9,7,2,8,1,3,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,3,2,4,
5,1,7,3,4,9,8,6,2,
2,6,9,7,5,8,4,1,3,
4,8,3,1,6,2,7,9,5,

ANSWER:7
1,3,4,6,2,5,9,8,7,
9,7,2,8,1,3,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,2,3,
5,1,7,3,4,9,8,6,2,
2,6,9,7,5,8,3,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:8
1,3,4,6,2,5,9,8,7,
9,7,2,8,1,3,5,4,6,
8,5,6,9,7,4,2,3,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,2,3,
5,1,9,7,4,8,3,6,2,
2,6,7,3,5,9,8,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:9
1,3,4,6,2,5,9,8,7,
9,7,2,8,1,3,5,4,6,
8,5,6,9,7,4,3,2,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,2,3,4,
5,1,7,3,4,9,8,6,2,
2,6,9,7,5,8,4,1,3,
4,8,3,1,6,2,7,9,5,

ANSWER:10
1,3,4,6,2,5,9,8,7,
9,7,2,8,1,3,5,4,6,
8,5,6,9,7,4,3,2,1,
3,2,5,4,9,1,6,7,8,
6,4,8,2,3,7,1,5,9,
7,9,1,5,8,6,4,3,2,
5,1,9,7,4,8,2,6,3,
2,6,7,3,5,9,8,1,4,
4,8,3,1,6,2,7,9,5,

ANSWER:11
1,3,4,6,8,5,9,2,7,
6,7,2,3,1,9,8,4,5,
8,5,9,2,7,4,3,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,2,8,1,5,3,
7,8,1,5,6,3,4,9,2,
5,1,7,8,4,6,2,3,9,
2,6,8,9,3,7,5,1,4,
4,9,3,1,5,2,7,8,6,

ANSWER:12
1,3,4,6,8,5,9,2,7,
6,7,2,3,1,9,8,4,5,
8,5,9,2,7,4,3,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,2,7,1,5,3,
7,8,1,5,6,3,4,9,2,
5,1,8,7,4,6,2,3,9,
2,6,7,9,3,8,5,1,4,
4,9,3,1,5,2,7,8,6,

ANSWER:13
1,3,4,6,8,5,9,2,7,
6,7,2,9,1,3,8,4,5,
8,5,9,2,7,4,3,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,6,9,4,3,2,
5,1,7,8,4,6,2,9,3,
2,6,8,3,9,7,5,1,4,
4,9,3,1,5,2,7,8,6,

ANSWER:14
1,3,4,6,8,5,9,2,7,
6,7,2,9,1,3,8,4,5,
8,5,9,2,7,4,3,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,6,9,4,3,2,
5,1,8,7,4,6,2,9,3,
2,6,7,3,9,8,5,1,4,
4,9,3,1,5,2,7,8,6,

ANSWER:15
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,3,8,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,8,9,4,7,2,3,6,
2,6,7,8,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:16
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,3,8,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:17
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,3,7,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,7,9,4,8,2,3,6,
2,6,8,7,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:18
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,3,7,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:19
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,9,6,4,3,2,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:20
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,9,8,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,8,9,4,7,2,3,6,
2,6,7,8,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:21
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,9,8,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:22
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,9,6,4,3,2,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:23
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,9,7,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,7,9,4,8,2,3,6,
2,6,8,7,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:24
1,7,4,6,8,5,9,2,3,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,9,7,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:25
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,3,8,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,7,8,4,9,2,3,6,
2,6,8,3,5,7,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:26
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,3,8,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,8,3,4,7,2,9,6,
2,6,7,8,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:27
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,3,7,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,8,7,4,9,2,3,6,
2,6,7,3,5,8,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:28
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,3,7,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,7,3,4,8,2,9,6,
2,6,8,7,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:29
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,6,9,2,3,4,
5,1,7,8,4,6,3,9,2,
2,6,8,3,9,7,4,1,5,
4,9,3,1,5,2,7,8,6,

ANSWER:30
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,9,6,4,3,2,
5,1,8,3,4,7,2,9,6,
2,6,7,8,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:31
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,9,8,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,7,8,4,9,2,3,6,
2,6,8,3,5,7,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:32
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,9,8,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,8,3,4,7,2,9,6,
2,6,7,8,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:33
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,6,9,2,3,4,
5,1,8,7,4,6,3,9,2,
2,6,7,3,9,8,4,1,5,
4,9,3,1,5,2,7,8,6,

ANSWER:34
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,9,6,4,3,2,
5,1,7,3,4,8,2,9,6,
2,6,8,7,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:35
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,9,7,1,5,2,
7,8,1,5,2,6,3,9,4,
5,1,8,7,4,9,2,3,6,
2,6,7,3,5,8,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:36
1,7,4,6,8,5,9,2,3,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,9,7,1,5,2,
7,8,1,5,2,6,4,3,9,
5,1,7,3,4,8,2,9,6,
2,6,8,7,5,9,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:37
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,2,8,1,5,3,
7,8,1,5,3,6,2,9,4,
5,1,8,9,4,7,3,2,6,
2,6,7,8,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:38
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,2,8,1,5,3,
7,8,1,5,3,6,4,2,9,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:39
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,7,2,8,1,5,3,
7,8,1,5,6,3,2,9,4,
5,1,7,8,4,6,3,2,9,
2,6,8,9,3,7,4,1,5,
4,9,3,1,5,2,7,8,6,

ANSWER:40
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,2,7,1,5,3,
7,8,1,5,3,6,2,9,4,
5,1,7,9,4,8,3,2,6,
2,6,8,7,5,3,4,1,9,
4,9,3,1,6,2,7,8,5,

ANSWER:41
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,2,7,1,5,3,
7,8,1,5,3,6,4,2,9,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:42
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
3,2,5,4,9,1,6,7,8,
9,4,6,8,2,7,1,5,3,
7,8,1,5,6,3,2,9,4,
5,1,8,7,4,6,3,2,9,
2,6,7,9,3,8,4,1,5,
4,9,3,1,5,2,7,8,6,

ANSWER:43
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,9,6,3,2,4,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,4,1,3,
4,9,3,1,6,2,7,8,5,

ANSWER:44
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,7,2,8,1,5,9,
7,8,1,5,9,6,4,2,3,
5,1,7,8,4,3,2,9,6,
2,6,8,9,5,7,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:45
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,9,6,3,2,4,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,4,1,3,
4,9,3,1,6,2,7,8,5,

ANSWER:46
1,7,4,6,8,5,9,3,2,
6,5,2,3,1,9,8,4,7,
8,3,9,2,7,4,5,6,1,
9,2,5,4,3,1,6,7,8,
3,4,6,8,2,7,1,5,9,
7,8,1,5,9,6,4,2,3,
5,1,8,7,4,3,2,9,6,
2,6,7,9,5,8,3,1,4,
4,9,3,1,6,2,7,8,5,

ANSWER:47
1,7,4,6,8,5,9,3,2,
6,5,2,9,1,3,8,4,7,
8,3,9,2,7,4,5,6,1,
